index,disease_name,description,Possible Steps,image_url
0,Apple: vảy,"Apple Scab là căn bệnh phổ biến nhất của cây táo và cua ở Minnesota.
Vụ vảy được gây ra bởi một loại nấm lây nhiễm cả lá và trái cây.
Trái cây vảy thường không phù hợp để ăn.
Lá bị nhiễm bệnh có các đốm xanh ô liu đến nâu.
Lá có nhiều đốm lá chuyển sang màu vàng và rụng sớm.
Mất lá làm suy yếu cây khi nó xảy ra nhiều năm liên tiếp.
Trồng các giống kháng bệnh là cách tốt nhất để quản lý vảy.","Chọn các giống kháng khi có thể.
Cào dưới cây và phá hủy lá bị nhiễm bệnh để giảm số lượng bào tử nấm có sẵn để bắt đầu chu kỳ bệnh trở lại vào mùa xuân tới.
Nước vào buổi tối hoặc sáng sớm (tránh tưới trên cao) để cho lá thời gian để khô trước khi có thể xảy ra nhiễm trùng.
Trải một lớp phân ủ 3 đến 6 inch dưới cây, giữ nó ra khỏi thân cây, để che phủ đất và ngăn chặn sự phân tán của các bào tử nấm.
Để kiểm soát tốt nhất, phun xà phòng đồng lỏng sớm, hai tuần trước khi các triệu chứng thường xuất hiện. Ngoài ra, bắt đầu các ứng dụng khi bệnh xuất hiện lần đầu tiên và lặp lại trong khoảng thời gian 7 đến 10 ngày cho đến khi nở hoa.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg
1,Apple: Rot đen,"Các triệu chứng lá lần đầu tiên xảy ra vào đầu mùa xuân khi lá đang mở ra.
Chúng xuất hiện dưới dạng các đốm nhỏ, tím trên bề mặt trên của lá phóng to thành các tổn thương tròn 1/8 đến 1/4 inch (3-6 mm) đường kính.
Biên độ của các tổn thương vẫn còn màu tím, trong khi trung tâm chuyển sang màu nâu. Trong một vài tuần, sự mở rộng thứ cấp của các đốm lá này xảy ra.
Lá bị nhiễm bệnh nặng trở thành clo và rụng lá xảy ra.
Khi khu vực bị mục nát mở rộng, một loạt các dải đồng tâm có dạng chiều rộng đồng đều xen kẽ màu từ đen sang nâu. Thịt của khu vực thối rữa vẫn vững chắc và da. Pycnidia đen thường được nhìn thấy trên bề mặt của trái cây bị nhiễm bệnh.","Hủy bỏ các canker bằng cách cắt tỉa ít nhất 15 inch dưới đầu và đốt hoặc chôn chúng. Ngoài ra, hãy chăm sóc phòng ngừa với các cắt tỉa mùa mới và đốt cháy chúng, bạn tốt hơn nên cắt tỉa trong mùa không hoạt động. Điều này sẽ giảm thiểu tỷ lệ cược lửa sẽ lây nhiễm vào cây của bạn và tạo ra mô chết có thể dễ dàng bị nhiễm Botryosphaeria. Bạn cũng nên đề phòng nếu vỏ cây bị hư hại do mưa đá, hoặc cành bị vỡ trong cơn bão gió. Sử dụng thuốc diệt nấm dựa trên đồng sẽ bảo vệ chống lại cả thối đen và cháy lửa.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg
2,Apple: Cedar rỉ sét,"Cedar Apple Rust (Gymnosporangium Juniperi-Virginianae) là một bệnh nấm đòi hỏi phải có cây bách xù phải hoàn thành vòng đời hai năm phức tạp của nó. Các bào tử đan xen như một túi mật màu nâu đỏ trên các cành cây trẻ của nhiều loài Juniper khác nhau. Vào đầu mùa xuân, trong thời tiết ẩm ướt, những cái túi này sưng lên và khối bào tử màu cam sáng bị thổi bởi gió nơi chúng lây nhiễm những cây táo và quả táo mẫn cảm. Các bào tử phát triển trên những cây này sẽ chỉ lây nhiễm Junipers vào năm sau. Từ năm này sang năm khác, căn bệnh này phải chuyển từ cây bách xù sang táo cho những người đi rừng một lần nữa; Nó không thể lan rộng giữa những cây táo.","Chọn các giống cây chống lại khi có sẵn.
Cào lên và vứt bỏ lá rụng và các mảnh vụn khác từ dưới cây.
Hủy bỏ galls khỏi cây bách xù bị nhiễm bệnh. Trong một số trường hợp, cây Juniper nên được loại bỏ hoàn toàn.
Áp dụng thuốc diệt nấm phòng ngừa, chống lại bệnh tật được dán nhãn để sử dụng cho Táo hàng tuần, bắt đầu bằng việc phá vỡ chồi, để bảo vệ cây khỏi các bào tử được phát hành bởi vật chủ Juniper. Điều này chỉ xảy ra một lần mỗi năm, vì vậy các ứng dụng bổ sung sau mùa xuân này không cần thiết.
Trên Juniper, rỉ sét có thể được kiểm soát bằng cách phun cây bằng dung dịch đồng (0,5 đến 2,0 oz/ gallon nước) ít nhất bốn lần từ cuối tháng 8 đến cuối tháng 10.
Điều trị an toàn hầu hết các bệnh nấm và vi khuẩn với serenade Garden. Thuốc sát sinh học phổ rộng này sử dụng một chủng Bacillus subtilis được cấp bằng sáng chế được đăng ký sử dụng hữu cơ. Trên hết, Serenade hoàn toàn không độc hại đối với ong mật và côn trùng có lợi.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Apple: khỏe mạnh,"Như với hầu hết các loại trái cây, táo tạo ra tốt nhất khi được trồng dưới ánh nắng mặt trời đầy đủ, có nghĩa là sáu giờ trở lên của mặt trời mùa hè trực tiếp hàng ngày. Phơi sáng tốt nhất cho táo là phía bắc của một ngôi nhà, đường cây hoặc mọc lên thay vì phía nam.","Táo là bổ dưỡng. 
Táo có thể tốt cho việc giảm cân.
Táo có thể tốt cho trái tim của bạn. 
Chúng liên quan đến nguy cơ mắc bệnh tiểu đường thấp hơn. 
Chúng có thể có tác dụng prebiotic và thúc đẩy vi khuẩn đường ruột tốt.
Các chất trong táo có thể giúp ngăn ngừa ung thư.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,Nền không có lá,Không có lá trong hình ảnh đã cho,Vui lòng tải lại hình ảnh với lá,https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Quả việt quất: khỏe mạnh,"Quả việt quất có lượng calo thấp nhưng nhiều chất dinh dưỡng. ...
Quả việt quất là vua của thực phẩm chống oxy hóa. ...
Quả việt quất làm giảm tổn thương DNA, có thể giúp bảo vệ chống lão hóa và ung thư. ...
Quả việt quất bảo vệ cholesterol trong máu của bạn khỏi bị tổn thương. ...
Quả việt quất có thể giảm huyết áp.","Bệnh mulch pH sâu, thấp như rêu than bùn, kim thông hoặc mùn cưa già bảo tồn nước và giảm thiểu biến động nước trong đất. Cây việt quất trong ngày. Giữ cho đất ẩm nhưng không sũng nước. Cung cấp cho họ ít nhất 1 ""mỗi tuần trong mùa sinh trưởng và tối đa 4"" mỗi tuần trong quá trình chín trái cây. Quả việt quất là một loại cây có nguồn gốc nông. Do đó, nó đòi hỏi một loại đất giữ độ ẩm, nhưng cũng thoát ra tốt và không bị ướt. Đừng thực vật quả việt quất trong các địa điểm có đất sét nặng, bị ướt.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Cherry: Bệnh phấn trắng,"Các triệu chứng ban đầu, thường xảy ra từ 7 đến 10 ngày sau khi bắt đầu tưới đầu tiên, là các mảng trông có hình tròn, có hình dạng phấn trên lá non, dễ bị ảnh hưởng (mới được mở ra và lá mở rộng màu xanh lá cây sáng). Lá cũ phát triển khả năng kháng thuốc liên quan đến tuổi (ontogen) đối với bệnh nấm mốc và tự nhiên kháng nhiễm trùng hơn lá non. Tìm kiếm các bệnh nhiễm trùng lá sớm trên mút gốc, bên trong tán hoặc háng cây nơi độ ẩm cao. Trái ngược với các loại nấm khác, nấm mốc không cần nước miễn phí để nảy mầm nhưng sự nảy mầm và sự phát triển của nấm được ưa chuộng bởi độ ẩm cao. Bệnh có nhiều khả năng bắt đầu ở mặt dưới (abical) của lá nhưng sẽ xảy ra ở cả hai bên ở giai đoạn sau. Khi mùa phát triển và nhiễm trùng được lan truyền bởi gió, lá có thể trở nên méo mó, cuộn tròn lên trên. Nhiễm trùng nặng có thể gây ra lá pucker và xoắn. Lá mới được phát triển trên các chồi mới trở nên nhỏ hơn dần dần, thường nhạt và có thể bị biến dạng.","Khử trùng các cạnh cắt, sau đó cắt tỉa và loại bỏ các phần bệnh của cây ngay lập tức. Đồng thời, áp dụng thuốc diệt nấm để bảo vệ các lá còn lại trên cây ăn quả. Bạn sẽ cần lặp lại các ứng dụng thuốc diệt nấm theo hướng dẫn nhãn để bảo vệ cây trong cả mùa.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Cherry: khỏe mạnh,"Không có sự khác biệt trong sự chăm sóc giữa anh đào chua và ngọt.
Áp dụng mùn để giữ độ ẩm.
Ném lưới trên cây để bảo vệ trái cây khỏi chim.
Nước thường xuyên ở những khu vực khô.
Làm mỏng trái cây là không cần thiết cho cây anh đào, vì chúng thường mỏng tự nhiên vào đầu mùa hè.","Đóng gói với chất dinh dưỡng.
Giàu trong chất chống oxy hóa và các hợp chất chống viêm.
Có thể tăng cường phục hồi tập thể dục.
Có thể có lợi cho sức khỏe tim mạch.
Có thể cải thiện các triệu chứng của viêm khớp và bệnh gút.
Có thể cải thiện chất lượng giấc ngủ.
Dễ dàng thêm vào chế độ ăn kiêng của bạn.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Corn: Cercospora Leaf Spot | Đốm lá xám,"Điểm lá màu xám trên ngô, do nấm cercospora zeae-Maydis gây ra, là một bệnh gây tổn hại về kinh tế và kinh tế ở Hoa Kỳ. Từ giữa những năm 1990, căn bệnh này đã tăng tầm quan trọng ở Indiana, và bây giờ là một trong những bệnh ngô quan trọng nhất của ngô ở bang. Thời kỳ mưa ấm áp thường gặp ở Florida tạo ra các điều kiện thuận lợi cho bệnh nấm này. Loại nấm này chậm phát triển, các thiết lập đã thành lập và có thể giết chết các khu vực rộng lớn của St.","Tưới sâu, nhưng không thường xuyên.
Tránh sử dụng những kẻ giết người sau khi xuất hiện trên bãi cỏ trong khi bệnh đang hoạt động.
Tránh mức phân bón nitơ trung bình đến cao.
Cải thiện lưu thông không khí và mức độ ánh sáng trên bãi cỏ.
Cắt ở độ cao thích hợp và chỉ cắt cỏ khi cỏ khô.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Ngô: rỉ sét thông thường,"Mặc dù một vài mụn mủ rỉ sét luôn có thể được tìm thấy trong các cánh đồng ngô trong suốt mùa sinh trưởng, các triệu chứng thường không xuất hiện cho đến khi tua. Chúng có thể dễ dàng nhận ra và phân biệt với các bệnh khác bằng cách phát triển các mụn mủ màu nâu sẫm (Uredinia) nằm rải rác trên cả bề mặt trên và dưới của lá ngô. Những mụn mủ này có thể xuất hiện trên bất kỳ phần nào trên mặt đất của cây, nhưng có nhiều nhất trên lá. Các mụn mủ xuất hiện hình bầu dục để kéo dài hình dạng, thường nhỏ, dài dưới 1/4 inch và được bao quanh bởi lớp biểu bì lá, nơi nó đã bị phá vỡ.","Để giảm tỷ lệ gỉ ngô, chỉ cây trồng có khả năng chống nấm. Kháng hoặc ở dạng kháng thuốc cụ thể hoặc kháng gỉ một phần. Trong cả hai trường hợp, không có ngô ngọt hoàn toàn kháng. Nếu ngô bắt đầu cho thấy các triệu chứng nhiễm trùng, ngay lập tức phun thuốc diệt nấm.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
